"Source:","C:\Users\srdja\OneDrive\Radna površina\PRIUMS\Projekat\Projekat.kicad_sch"
"Date:","1/13/2024 11:18:58 PM"
"Tool:","Eeschema (6.0.11)"
"Generator:","C:\Program Files\KiCad\6.0\bin\scripting\plugins/bom_csv_grouped_by_value.py"
"Component Count:","52"

"Individual Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","Availability","Check_prices","Description","MANUFACTURER","MAXIMUM_PACKAGE_HEIGHT","MF","MP","PARTREV","Package","Price","Purchase-URL","SNAPEDA_PN","STANDARD","SnapEDA_Link"
"","","BZ1","Buzzer","Device:Buzzer","Buzzer_Beeper:Buzzer_12x9.5RM7.6","~","","","","","","","","","","","","","",""
"","","C1","0.022uF","Device:C","Capacitor_THT:C_Rect_L26.5mm_W11.5mm_P22.50mm_MKS4","~","","","","","","","","","","","","","",""
"","","C2","1uF","PRIUMS_STANDARD:Cap_pol","Capacitor_SMD:C_1210_3225Metric","","","","","","","","","","","","","","",""
"","","C3","100nF","Device:C","Capacitor_SMD:C_1210_3225Metric","~","","","","","","","","","","","","","",""
"","","C4","100nF","Device:C","Capacitor_SMD:C_1210_3225Metric","~","","","","","","","","","","","","","",""
"","","C5","3.3uF",":Cap_pol_1","Capacitor_SMD:C_1210_3225Metric","","","","","","","","","","","","","","",""
"","","C6","100uF","PRIUMS_STANDARD:Cap_pol","Capacitor_SMD:C_1210_3225Metric","","","","","","","","","","","","","","",""
"","","C7","100nF","Device:C","Capacitor_SMD:C_1210_3225Metric","~","","","","","","","","","","","","","",""
"","","C8","100nF","Device:C","Capacitor_SMD:C_1210_3225Metric","~","","","","","","","","","","","","","",""
"","","C9","100uF","PRIUMS_STANDARD:Cap_pol","Capacitor_SMD:C_1210_3225Metric","","","","","","","","","","","","","","",""
"","","C10","20pF","Device:C","Capacitor_SMD:C_1210_3225Metric","~","","","","","","","","","","","","","",""
"","","C11","0.1uF","Device:C","Capacitor_SMD:C_1210_3225Metric","~","","","","","","","","","","","","","",""
"","","C12","0.47uF","Device:C","Capacitor_SMD:C_1206_3216Metric","~","","","","","","","","","","","","","",""
"","","C13","0.22uF","Device:C","Capacitor_SMD:C_1206_3216Metric","~","","","","","","","","","","","","","",""
"","","C14","100pF","Device:C","Capacitor_SMD:C_1206_3216Metric","~","","","","","","","","","","","","","",""
"","","C15","100uF","PRIUMS_STANDARD:Cap_pol","Capacitor_SMD:C_1206_3216Metric","","","","","","","","","","","","","","",""
"","","C16","100uF","PRIUMS_STANDARD:Cap_pol","Capacitor_SMD:C_1206_3216Metric","","","","","","","","","","","","","","",""
"","","C17","10pF","Device:C","Capacitor_SMD:C_1206_3216Metric","~","","","","","","","","","","","","","",""
"","","D1","1N4148",":1N4148_1","Diode_THT:D_DO-35_SOD27_P7.62mm_Horizontal","https://assets.nexperia.com/documents/data-sheet/1N4148_1N4448.pdf","","","","","","","","","","","","","",""
"","","D2","1N4148","Diode:1N4148","Diode_THT:D_DO-35_SOD27_P7.62mm_Horizontal","https://assets.nexperia.com/documents/data-sheet/1N4148_1N4448.pdf","","","","","","","","","","","","","",""
"","","D3","1N4448","Diode:1N4448","Diode_THT:D_DO-35_SOD27_P7.62mm_Horizontal","https://assets.nexperia.com/documents/data-sheet/1N4148_1N4448.pdf","","","","","","","","","","","","","",""
"","","D4","Green","Device:LED","LED_THT:LED_D5.0mm_Horizontal_O6.35mm_Z15.0mm","~","","","","","","","","","","","","","",""
"","","D5","1N4002","Diode:1N4002","Diode_THT:D_DO-41_SOD81_P10.16mm_Horizontal","http://www.vishay.com/docs/88503/1n4001.pdf","","","","","","","","","","","","","",""
"","","IC1","AD737","PRIUMS_STANDARD:AD737","Package_DIP:DIP-8_W10.16mm","https://www.analog.com/media/en/technical-documentation/data-sheets/ad737.pdf","","","","","","","","","","","","","",""
"","","J1","COMM","Connector:Conn_01x01_Female","Connector:Banana_Jack_1Pin","~","","","","","","","","","","","","","",""
"","","J2","V","Connector:Conn_01x01_Female","Connector:Banana_Jack_1Pin","~","","","","","","","","","","","","","",""
"","","J3","Battery Connector","Connector_Generic:Conn_01x02","","~","","","","","","","","","","","","","",""
"","","R1","1M","Device:R_US","Resistor_SMD:R_1812_4532Metric","~","","","","","","","","","","","","","",""
"","","R2","11K","Device:R_US","Resistor_SMD:R_1206_3216Metric","~","","","","","","","","","","","","","",""
"","","R3","1.5K","Device:R_US","Resistor_SMD:R_1206_3216Metric","~","","","","","","","","","","","","","",""
"","","R4","11M","Device:R_US","Resistor_SMD:R_1210_3225Metric","~","","","","","","","","","","","","","",""
"","","R5","47K","Device:R_US","Resistor_SMD:R_1206_3216Metric","~","","","","","","","","","","","","","",""
"","","R6","330","Device:R_US","Resistor_SMD:R_1206_3216Metric","~","","","","","","","","","","","","","",""
"","","R7","47K","Device:R_US","Resistor_SMD:R_1206_3216Metric","~","","","","","","","","","","","","","",""
"","","R8","100K","Device:R_US","Resistor_SMD:R_1206_3216Metric","~","","","","","","","","","","","","","",""
"","","R9","100K","Device:R_US","Resistor_SMD:R_1206_3216Metric","~","","","","","","","","","","","","","",""
"","","R10","24K","Device:R_US","Resistor_SMD:R_1206_3216Metric","~","","","","","","","","","","","","","",""
"","","R11","10K","Device:R_US","Resistor_SMD:R_1206_3216Metric","~","","","","","","","","","","","","","",""
"","","R12","1.1K","Device:R_US","Resistor_SMD:R_1206_3216Metric","~","","","","","","","","","","","","","",""
"","","RV1","1K","Device:R_Potentiometer_Trim_US","Potentiometer_THT:Potentiometer_Bourns_3266W_Vertical","~","","","","","","","","","","","","","",""
"","","RV2","430V","Device:Varistor","Varistor:RV_Disc_D12mm_W3.9mm_P7.5mm","~","","","","","","","","","","","","","",""
"","","RV3","430V","Device:Varistor","Varistor:RV_Disc_D12mm_W3.9mm_P7.5mm","~","","","","","","","","","","","","","",""
"","","RV4","430V","Device:Varistor","Varistor:RV_Disc_D12mm_W3.9mm_P7.5mm","~","","","","","","","","","","","","","",""
"","","RV5","430V","Device:Varistor","Varistor:RV_Disc_D12mm_W3.9mm_P7.5mm","~","","","","","","","","","","","","","",""
"","","RV6","430V","Device:Varistor","Varistor:RV_Disc_D12mm_W3.9mm_P7.5mm","~","","","","","","","","","","","","","",""
"","","S1","EG2310","PRIUMS_STANDARD:EG2310","EG2310:SW_EG2310","","In Stock","https://www.snapeda.com/parts/EG2310/E-Switch/view-part/?ref=eda","Slide Switch DP3T Through Hole, Right Angle","E-Switch","4.7mm","E-Switch","EG2310","-","None","None","https://www.snapeda.com/api/url_track_click_mouser/?unipart_id=396456&manufacturer=E-Switch&part_name=EG2310&search_term=None","EG2310","Manufacturer Recommendations","https://www.snapeda.com/parts/EG2310/E-Switch/view-part/?ref=snap"
"","","TH1","PTC","PRIUMS_STANDARD:PTC","Resistor_THT:R_Axial_DIN0414_L11.9mm_D4.5mm_P7.62mm_Vertical","https://www.vishay.com/docs/29072/ptccl.pdf","","","","","","","","","","","","","",""
"","","U1","ICL7107CPL","Analog_ADC:ICL7107CPL","Package_DIP:DIP-40_W15.24mm","https://www.renesas.com/eu/en/www/doc/datasheet/icl7106-07-07s.pdf","","","","","","","","","","","","","",""
"","","U2","DE113-XX-XX","Display_Character:DE113-XX-XX","Display_7Segment:DE113-XX-XX","http://www.display-elektronik.de/filter/DE113-MS-20_75.pdf","","","","","","","","","","","","","",""
"","","U3","L7806","Regulator_Linear:L7806","Package_TO_SOT_THT:TO-220-3_Horizontal_TabDown","http://www.st.com/content/ccc/resource/technical/document/datasheet/41/4f/b3/b0/12/d4/47/88/CD00000444.pdf/files/CD00000444.pdf/jcr:content/translations/en.CD00000444.pdf","","","","","","","","","","","","","",""
"","","U4","L7905","Regulator_Linear:L7905","Package_TO_SOT_THT:TO-220-3_Horizontal_TabDown","http://www.st.com/content/ccc/resource/technical/document/datasheet/c9/16/86/41/c7/2b/45/f2/CD00000450.pdf/files/CD00000450.pdf/jcr:content/translations/en.CD00000450.pdf","","","","","","","","","","","","","",""
"","","U5","AD8561","Comparator:AD8561","Package_DIP:DIP-8_W7.62mm","https://www.analog.com/media/en/technical-documentation/data-sheets/ad8561.pdf","","","","","","","","","","","","","",""



"Collated Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","Availability","Check_prices","Description","MANUFACTURER","MAXIMUM_PACKAGE_HEIGHT","MF","MP","PARTREV","Package","Price","Purchase-URL","SNAPEDA_PN","STANDARD","SnapEDA_Link"
"1","1","BZ1","Buzzer","Device:Buzzer","Buzzer_Beeper:Buzzer_12x9.5RM7.6","~","","","","","","","","","","","","","",""
"2","1","C1","0.022uF","Device:C","Capacitor_THT:C_Rect_L26.5mm_W11.5mm_P22.50mm_MKS4","~","","","","","","","","","","","","","",""
"3","1","C2","1uF","PRIUMS_STANDARD:Cap_pol","Capacitor_SMD:C_1210_3225Metric","","","","","","","","","","","","","","",""
"4","4","C3, C4, C7, C8","100nF","Device:C","Capacitor_SMD:C_1210_3225Metric","~","","","","","","","","","","","","","",""
"5","1","C5","3.3uF",":Cap_pol_1","Capacitor_SMD:C_1210_3225Metric","","","","","","","","","","","","","","",""
"6","2","C6, C9","100uF","PRIUMS_STANDARD:Cap_pol","Capacitor_SMD:C_1210_3225Metric","","","","","","","","","","","","","","",""
"7","1","C10","20pF","Device:C","Capacitor_SMD:C_1210_3225Metric","~","","","","","","","","","","","","","",""
"8","1","C11","0.1uF","Device:C","Capacitor_SMD:C_1210_3225Metric","~","","","","","","","","","","","","","",""
"9","1","C12","0.47uF","Device:C","Capacitor_SMD:C_1206_3216Metric","~","","","","","","","","","","","","","",""
"10","1","C13","0.22uF","Device:C","Capacitor_SMD:C_1206_3216Metric","~","","","","","","","","","","","","","",""
"11","1","C14","100pF","Device:C","Capacitor_SMD:C_1206_3216Metric","~","","","","","","","","","","","","","",""
"12","2","C15, C16","100uF","PRIUMS_STANDARD:Cap_pol","Capacitor_SMD:C_1206_3216Metric","","","","","","","","","","","","","","",""
"13","1","C17","10pF","Device:C","Capacitor_SMD:C_1206_3216Metric","~","","","","","","","","","","","","","",""
"14","1","D1","1N4148",":1N4148_1","Diode_THT:D_DO-35_SOD27_P7.62mm_Horizontal","https://assets.nexperia.com/documents/data-sheet/1N4148_1N4448.pdf","","","","","","","","","","","","","",""
"15","1","D2","1N4148","Diode:1N4148","Diode_THT:D_DO-35_SOD27_P7.62mm_Horizontal","https://assets.nexperia.com/documents/data-sheet/1N4148_1N4448.pdf","","","","","","","","","","","","","",""
"16","1","D3","1N4448","Diode:1N4448","Diode_THT:D_DO-35_SOD27_P7.62mm_Horizontal","https://assets.nexperia.com/documents/data-sheet/1N4148_1N4448.pdf","","","","","","","","","","","","","",""
"17","1","D4","Green","Device:LED","LED_THT:LED_D5.0mm_Horizontal_O6.35mm_Z15.0mm","~","","","","","","","","","","","","","",""
"18","1","D5","1N4002","Diode:1N4002","Diode_THT:D_DO-41_SOD81_P10.16mm_Horizontal","http://www.vishay.com/docs/88503/1n4001.pdf","","","","","","","","","","","","","",""
"19","1","IC1","AD737","PRIUMS_STANDARD:AD737","Package_DIP:DIP-8_W10.16mm","https://www.analog.com/media/en/technical-documentation/data-sheets/ad737.pdf","","","","","","","","","","","","","",""
"20","1","J1","COMM","Connector:Conn_01x01_Female","Connector:Banana_Jack_1Pin","~","","","","","","","","","","","","","",""
"21","1","J2","V","Connector:Conn_01x01_Female","Connector:Banana_Jack_1Pin","~","","","","","","","","","","","","","",""
"22","1","J3","Battery Connector","Connector_Generic:Conn_01x02","","~","","","","","","","","","","","","","",""
"23","1","R1","1M","Device:R_US","Resistor_SMD:R_1812_4532Metric","~","","","","","","","","","","","","","",""
"24","1","R2","11K","Device:R_US","Resistor_SMD:R_1206_3216Metric","~","","","","","","","","","","","","","",""
"25","1","R3","1.5K","Device:R_US","Resistor_SMD:R_1206_3216Metric","~","","","","","","","","","","","","","",""
"26","1","R4","11M","Device:R_US","Resistor_SMD:R_1210_3225Metric","~","","","","","","","","","","","","","",""
"27","2","R5, R7","47K","Device:R_US","Resistor_SMD:R_1206_3216Metric","~","","","","","","","","","","","","","",""
"28","1","R6","330","Device:R_US","Resistor_SMD:R_1206_3216Metric","~","","","","","","","","","","","","","",""
"29","2","R8, R9","100K","Device:R_US","Resistor_SMD:R_1206_3216Metric","~","","","","","","","","","","","","","",""
"30","1","R10","24K","Device:R_US","Resistor_SMD:R_1206_3216Metric","~","","","","","","","","","","","","","",""
"31","1","R11","10K","Device:R_US","Resistor_SMD:R_1206_3216Metric","~","","","","","","","","","","","","","",""
"32","1","R12","1.1K","Device:R_US","Resistor_SMD:R_1206_3216Metric","~","","","","","","","","","","","","","",""
"33","1","RV1","1K","Device:R_Potentiometer_Trim_US","Potentiometer_THT:Potentiometer_Bourns_3266W_Vertical","~","","","","","","","","","","","","","",""
"34","5","RV2, RV3, RV4, RV5, RV6","430V","Device:Varistor","Varistor:RV_Disc_D12mm_W3.9mm_P7.5mm","~","","","","","","","","","","","","","",""
"35","1","S1","EG2310","PRIUMS_STANDARD:EG2310","EG2310:SW_EG2310","","In Stock","https://www.snapeda.com/parts/EG2310/E-Switch/view-part/?ref=eda","Slide Switch DP3T Through Hole, Right Angle","E-Switch","4.7mm","E-Switch","EG2310","-","None","None","https://www.snapeda.com/api/url_track_click_mouser/?unipart_id=396456&manufacturer=E-Switch&part_name=EG2310&search_term=None","EG2310","Manufacturer Recommendations","https://www.snapeda.com/parts/EG2310/E-Switch/view-part/?ref=snap"
"36","1","TH1","PTC","PRIUMS_STANDARD:PTC","Resistor_THT:R_Axial_DIN0414_L11.9mm_D4.5mm_P7.62mm_Vertical","https://www.vishay.com/docs/29072/ptccl.pdf","","","","","","","","","","","","","",""
"37","1","U1","ICL7107CPL","Analog_ADC:ICL7107CPL","Package_DIP:DIP-40_W15.24mm","https://www.renesas.com/eu/en/www/doc/datasheet/icl7106-07-07s.pdf","","","","","","","","","","","","","",""
"38","1","U2","DE113-XX-XX","Display_Character:DE113-XX-XX","Display_7Segment:DE113-XX-XX","http://www.display-elektronik.de/filter/DE113-MS-20_75.pdf","","","","","","","","","","","","","",""
"39","1","U3","L7806","Regulator_Linear:L7806","Package_TO_SOT_THT:TO-220-3_Horizontal_TabDown","http://www.st.com/content/ccc/resource/technical/document/datasheet/41/4f/b3/b0/12/d4/47/88/CD00000444.pdf/files/CD00000444.pdf/jcr:content/translations/en.CD00000444.pdf","","","","","","","","","","","","","",""
"40","1","U4","L7905","Regulator_Linear:L7905","Package_TO_SOT_THT:TO-220-3_Horizontal_TabDown","http://www.st.com/content/ccc/resource/technical/document/datasheet/c9/16/86/41/c7/2b/45/f2/CD00000450.pdf/files/CD00000450.pdf/jcr:content/translations/en.CD00000450.pdf","","","","","","","","","","","","","",""
"41","1","U5","AD8561","Comparator:AD8561","Package_DIP:DIP-8_W7.62mm","https://www.analog.com/media/en/technical-documentation/data-sheets/ad8561.pdf","","","","","","","","","","","","","",""
